trial,D,W,ID,MT,error,subject_id,group_id,device
51,3.5,0.5,3.0588936890535683,982.2065830230712,1,3,0,1
52,1.75,0.25,3.0588936890535683,1011.0921859741212,1,3,0,1
53,3.75,0.25,4.058893689053568,715.4514789581299,1,3,0,1
54,3.5,0.5,3.0588936890535683,942.5182342529296,0,3,0,1
55,12.0,4.0,2.0,577.3231983184814,0,3,0,1
56,12.0,4.0,2.0,554.3520450592041,0,3,0,1
57,14.0,2.0,3.009586048829198,628.2949447631836,1,3,0,1
58,7.0,1.0,3.0241663111307524,901.7932415008544,0,3,0,1
59,3.75,0.25,4.058893689053568,730.3867340087891,0,3,0,1
0,7.5,0.5,4.0636946753173895,697.8335380554199,0,3,0,0
1,1.75,0.25,3.0588936890535683,531.0072898864746,1,3,0,0
2,12.0,4.0,2.0,611.6664409637451,0,3,0,0
3,9.0,3.0,2.0031882776310477,433.3417415618897,0,3,0,0
4,3.75,0.25,4.058893689053568,650.3462791442871,1,3,0,0
5,9.0,3.0,2.0031882776310477,458.8160514831543,0,3,0,0
6,11.25,0.75,4.016012317988631,612.3960018157959,0,3,0,0
7,7.5,0.5,4.0636946753173895,645.9662914276123,0,3,0,0
8,7.0,1.0,3.0241663111307524,499.1929531097412,0,3,0,0
9,15.0,1.0,4.026560826271135,564.0206336975098,0,3,0,0
10,1.75,0.25,3.0588936890535683,765.6419277191162,1,3,0,0
11,14.0,2.0,3.009586048829198,450.6232738494873,0,3,0,0
12,14.0,2.0,3.009586048829198,480.9379577636719,0,3,0,0
13,3.5,0.5,3.0588936890535683,635.9117031097412,1,3,0,0
14,1.75,0.25,3.0588936890535683,579.0445804595947,1,3,0,0
15,9.0,3.0,2.0031882776310477,458.8940143585205,0,3,0,0
16,15.0,1.0,4.026560826271135,582.036018371582,0,3,0,0
17,3.0,1.0,2.019365324866931,700.2313137054443,0,3,0,0
18,1.75,0.25,3.0588936890535683,898.9975452423096,1,3,0,0
19,9.0,3.0,2.0031882776310477,393.82028579711914,0,3,0,0
20,14.0,2.0,3.009586048829198,562.6492500305176,0,3,0,0
21,14.0,2.0,3.009586048829198,409.2082977294922,0,3,0,0
22,3.0,1.0,2.019365324866931,668.0324077606201,0,3,0,0
23,7.0,1.0,3.0241663111307524,430.2997589111328,0,3,0,0
24,6.0,2.0,2.004800986263821,492.6128387451172,0,3,0,0
25,6.0,2.0,2.004800986263821,428.1778335571289,0,3,0,0
26,9.0,3.0,2.0031882776310477,478.34157943725586,0,3,0,0
27,15.0,1.0,4.026560826271135,498.90875816345215,1,3,0,0
28,15.0,1.0,4.026560826271135,465.6696319580078,1,3,0,0
29,6.0,2.0,2.004800986263821,533.6651802062988,0,3,0,0
30,1.75,0.25,3.0588936890535683,522.8853225708008,1,3,0,0
31,3.75,0.25,4.058893689053568,499.0971088409424,1,3,0,0
32,6.0,2.0,2.004800986263821,430.7515621185303,0,3,0,0
33,7.0,1.0,3.0241663111307524,497.6041316986084,0,3,0,0
34,6.0,2.0,2.004800986263821,432.2943687438965,0,3,0,0
35,12.0,4.0,2.0,482.8102588653565,0,3,0,0
36,3.5,0.5,3.0588936890535683,467.7739143371582,1,3,0,0
37,3.5,0.5,3.0588936890535683,634.0715885162354,1,3,0,0
38,3.0,1.0,2.019365324866931,464.37907218933105,0,3,0,0
39,7.0,1.0,3.0241663111307524,495.955228805542,0,3,0,0
